player,nationality,position,team,comp_level,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Ben Davies,WAL,DF,Tottenham,Premier League,30,1993,12.1,850.0,788.0,61.0,34.0,3.0,3.0,10,27.0,0.0,0.0,0.0,0.0,766.0,1.0,10.0
Tom Davies,ENG,MF,Sheffield Utd,Premier League,25,1998,2.5,99.0,92.0,5.0,2.0,1.0,0.0,4,1.0,0.0,0.0,0.0,0.0,68.0,2.0,5.0
Keinan Davis,ENG,"FW,MF",Udinese,Serie A,25,1998,2.1,50.0,49.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4.0
Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,28,1995,23.8,1173.0,1102.0,70.0,52.0,0.0,11.0,2,10.0,0.0,0.0,0.0,0.0,972.0,1.0,12.0
Craig Dawson,ENG,DF,Wolves,Premier League,33,1990,24.5,1277.0,1236.0,38.0,29.0,2.0,22.0,1,1.0,0.0,0.0,0.0,0.0,1104.0,3.0,9.0
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,32,1991,13.6,971.0,840.0,124.0,23.0,11.0,6.0,136,24.0,69.0,29.0,16.0,5.0,732.0,7.0,27.0
Charles De Ketelaere,BEL,"FW,MF",Atalanta,Serie A,22,2001,22.5,782.0,746.0,35.0,7.0,6.0,2.0,47,8.0,2.0,0.0,2.0,0.0,565.0,1.0,25.0
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,29,1994,23.1,1553.0,1461.0,75.0,51.0,23.0,16.0,46,12.0,12.0,3.0,4.0,0.0,1291.0,17.0,23.0
Mattia De Sciglio,ITA,DF,Juventus,Serie A,30,1992,0.5,19.0,17.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,35,1988,7.5,432.0,365.0,66.0,16.0,0.0,1.0,9,50.0,0.0,0.0,0.0,0.0,373.0,1.0,7.0
Thibault De Smet,BEL,DF,Reims,Ligue 1,25,1998,20.3,1046.0,878.0,163.0,12.0,0.0,2.0,31,149.0,2.0,2.0,0.0,0.0,837.0,5.0,29.0
Koni De Winter,BEL,DF,Genoa,Serie A,21,2002,26.4,1269.0,1158.0,111.0,35.0,1.0,0.0,5,45.0,0.0,0.0,0.0,0.0,1122.0,0.0,14.0
Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,32,1991,8.4,221.0,209.0,10.0,1.0,0.0,0.0,2,3.0,2.0,0.0,0.0,0.0,187.0,2.0,6.0
Alessandro Deiola,ITA,MF,Cagliari,Serie A,27,1995,17.9,524.0,511.0,11.0,4.0,2.0,11.0,15,7.0,0.0,0.0,0.0,0.0,364.0,2.0,10.0
Romain Del Castillo,FRA,FW,Brest,Ligue 1,27,1996,27.7,1469.0,1255.0,209.0,52.0,9.0,11.0,251,45.0,104.0,57.0,45.0,0.0,989.0,5.0,67.0
Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,31,1992,22.7,882.0,699.0,179.0,24.0,2.0,1.0,104,146.0,9.0,0.0,8.0,0.0,638.0,4.0,25.0
Sacha Delaye,FRA,"MF,FW",Montpellier,Ligue 1,21,2002,1.4,48.0,48.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0
Hannes Delcroix,BEL,DF,Burnley,Premier League,24,1999,6.5,350.0,320.0,29.0,3.0,0.0,0.0,5,26.0,0.0,0.0,0.0,0.0,300.0,1.0,2.0
Alessandro Dellavalle,ITA,DF,Torino,Serie A,19,2004,0.2,6.0,6.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,23,2000,15.2,730.0,607.0,121.0,6.0,0.0,5.0,45,110.0,4.0,2.0,1.0,0.0,543.0,2.0,28.0
Karamoko Dembele,SCO,"MF,FW",Brest,Ligue 1,20,2003,0.2,10.0,9.0,1.0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0
Ousmane Dembélé,FRA,"MF,FW",Paris S-G,Ligue 1,26,1997,16.7,1044.0,974.0,65.0,13.0,11.0,4.0,99,3.0,49.0,7.0,18.0,0.0,792.0,5.0,24.0
Jessy Deminguet,FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,7.7,258.0,231.0,25.0,13.0,1.0,3.0,9,5.0,7.0,2.0,1.0,0.0,221.0,2.0,1.0
Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,25,1998,31.9,574.0,523.0,44.0,3.0,3.0,1.0,10,4.0,1.0,0.0,0.0,0.0,371.0,7.0,35.0
Diego Demme,GER,MF,Napoli,Serie A,31,1991,0.8,76.0,76.0,0.0,0.0,0.0,2.0,3,0.0,0.0,0.0,0.0,0.0,63.0,0.0,1.0
Sepp van den Berg,NED,DF,Mainz 05,Bundesliga,21,2001,31.5,1469.0,1424.0,41.0,34.0,0.0,2.0,2,2.0,0.0,0.0,0.0,0.0,1190.0,4.0,10.0
Leander Dendoncker,BEL,MF,Aston Villa,Premier League,28,1995,1.3,56.0,56.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
Leander Dendoncker,BEL,MF,Napoli,Serie A,28,1995,0.3,27.0,26.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
Rémy Descamps,FRA,GK,Nantes,Ligue 1,27,1996,6.0,212.0,123.0,89.0,18.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,1.0
Mikkel Desler,DEN,DF,Toulouse,Ligue 1,28,1995,17.2,944.0,775.0,169.0,20.0,0.0,1.0,30,149.0,0.0,0.0,0.0,0.0,788.0,0.0,23.0
Arthur Desmas,FRA,GK,Le Havre,Ligue 1,29,1994,33.0,945.0,617.0,324.0,102.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,611.0,4.0,2.0
Mattia Destro,ITA,"FW,MF",Empoli,Serie A,32,1991,4.1,63.0,52.0,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,1.0
Samuele Di Benedetto,GER,MF,Stuttgart,Bundesliga,18,2005,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,29,1994,0.2,8.0,8.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Raffaele Di Gennaro,ITA,GK,Inter,Serie A,29,1993,0.3,17.0,15.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0
Michele Di Gregorio,ITA,GK,Monza,Serie A,26,1997,31.9,1350.0,1053.0,296.0,73.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1054.0,1.0,1.0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,29,1993,35.9,2732.0,2336.0,386.0,42.0,6.0,26.0,126,343.0,1.0,0.0,0.0,0.0,2314.0,10.0,46.0
Alessandro Di Pardo,ITA,"DF,MF",Cagliari,Serie A,24,1999,4.0,175.0,146.0,29.0,0.0,0.0,1.0,18,29.0,0.0,0.0,0.0,0.0,115.0,0.0,7.0
Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,26,1996,12.7,244.0,227.0,16.0,2.0,2.0,5.0,1,0.0,0.0,0.0,0.0,0.0,204.0,1.0,5.0
Moussa Diaby,FRA,"FW,MF",Aston Villa,Premier League,24,1999,24.2,619.0,567.0,51.0,3.0,6.0,2.0,45,4.0,1.0,0.0,0.0,0.0,485.0,1.0,15.0
Lamine Diack,SEN,MF,Nantes,Ligue 1,22,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouctar Diakhaby,GUI,"DF,MF",Valencia,La Liga,26,1996,11.9,546.0,530.0,15.0,13.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,475.0,1.0,4.0
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,17,2005,2.3,48.0,46.0,2.0,0.0,1.0,1.0,4,2.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
Bafodé Diakité,FRA,DF,Lille,Ligue 1,22,2001,18.8,1311.0,1209.0,102.0,45.0,0.0,3.0,3,49.0,0.0,0.0,0.0,0.0,1206.0,0.0,11.0
Ibrahim Diakité,GUI,DF,Reims,Ligue 1,19,2003,1.2,85.0,67.0,18.0,2.0,0.0,1.0,9,16.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0
Moussa Diakité,MLI,MF,Cádiz,La Liga,19,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Diakité,CIV,FW,Reims,Ligue 1,19,2003,17.6,305.0,279.0,26.0,1.0,4.0,0.0,3,1.0,0.0,0.0,0.0,0.0,239.0,0.0,6.0
Amad Diallo,CIV,"FW,MF",Manchester Utd,Premier League,21,2002,4.3,170.0,166.0,4.0,1.0,0.0,1.0,1,2.0,1.0,1.0,0.0,0.0,149.0,0.0,3.0
Amadou Diallo,ENG,MF,Newcastle Utd,Premier League,20,2003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Assane Diao,ESP,FW,Betis,La Liga,17,2005,11.6,264.0,261.0,2.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,200.0,1.0,12.0
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,19,2004,25.6,874.0,850.0,23.0,8.0,3.0,4.0,22,4.0,3.0,2.0,0.0,0.0,735.0,1.0,13.0
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,22,2000,15.5,680.0,587.0,90.0,25.0,1.0,2.0,16,59.0,0.0,0.0,0.0,0.0,550.0,3.0,19.0
Rúben Dias,POR,DF,Manchester City,Premier League,26,1997,28.4,2635.0,2567.0,65.0,46.0,2.0,7.0,13,11.0,0.0,0.0,0.0,0.0,2469.0,3.0,8.0
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,24,1999,13.4,787.0,629.0,152.0,16.0,0.0,5.0,39,126.0,10.0,4.0,4.0,0.0,602.0,6.0,13.0
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,30,1993,30.0,1245.0,952.0,289.0,113.0,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,848.0,4.0,1.0
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,18,2005,4.0,147.0,144.0,2.0,2.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,125.0,1.0,4.0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,23,1999,17.2,740.0,705.0,29.0,8.0,7.0,2.0,31,6.0,7.0,3.0,2.0,0.0,624.0,6.0,12.0
Luis Díaz,COL,FW,Liverpool,Premier League,26,1997,29.2,1075.0,1040.0,29.0,4.0,4.0,11.0,26,24.0,0.0,0.0,0.0,0.0,898.0,6.0,29.0
Víctor Díaz,ESP,"DF,MF",Granada,La Liga,35,1988,1.8,74.0,63.0,9.0,6.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,47.0,2.0,4.0
Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,1992,1.0,41.0,40.0,1.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0
Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,2004,1.9,64.0,48.0,16.0,2.0,0.0,0.0,18,1.0,13.0,7.0,6.0,0.0,41.0,0.0,1.0
Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,2000,6.1,117.0,99.0,18.0,0.0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,90.0,0.0,2.0
Eric Dier,ENG,DF,Tottenham,Premier League,29,1994,2.2,141.0,132.0,9.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0
Eric Dier,ENG,DF,Bayern Munich,Bundesliga,29,1994,13.0,1143.0,1092.0,48.0,19.0,0.0,16.0,7,3.0,0.0,0.0,0.0,0.0,1042.0,3.0,4.0
Guillaume Dietsch,FRA,GK,Metz,Ligue 1,22,2001,0.8,26.0,12.0,14.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Florian Dietz,GER,"FW,MF",Köln,Bundesliga,24,1998,0.8,19.0,18.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0
Lucas Digne,FRA,DF,Aston Villa,Premier League,30,1993,26.8,1351.0,1095.0,253.0,36.0,0.0,4.0,154,181.0,36.0,25.0,5.0,0.0,1015.0,3.0,42.0
Federico Dimarco,ITA,DF,Inter,Serie A,25,1997,23.1,1328.0,1116.0,207.0,24.0,1.0,6.0,196,124.0,59.0,22.0,30.0,0.0,1027.0,5.0,34.0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,37.0,1198.0,794.0,401.0,134.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,732.0,3.0,0.0
Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,Bundesliga,22,2000,21.7,935.0,839.0,93.0,5.0,7.0,5.0,21,88.0,0.0,0.0,0.0,0.0,715.0,3.0,27.0
Eren Dinkçi,GER,"FW,MF",Heidenheim,Bundesliga,21,2001,29.4,819.0,791.0,25.0,3.0,2.0,5.0,79,18.0,3.0,0.0,3.0,0.0,508.0,3.0,52.0
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,22,2001,9.9,570.0,554.0,15.0,13.0,1.0,3.0,1,2.0,0.0,0.0,0.0,0.0,521.0,1.0,3.0
Edan Diop,FRA,"MF,DF",Monaco,Ligue 1,18,2004,1.8,97.0,86.0,10.0,1.0,0.0,0.0,2,9.0,0.0,0.0,0.0,0.0,71.0,1.0,3.0
Issa Diop,FRA,DF,Fulham,Premier League,26,1997,15.8,1080.0,1041.0,37.0,22.0,1.0,5.0,0,2.0,0.0,0.0,0.0,0.0,950.0,2.0,13.0
Sofiane Diop,FRA,FW,Nice,Ligue 1,23,2000,5.5,176.0,171.0,5.0,2.0,0.0,1.0,13,1.0,2.0,2.0,0.0,0.0,143.0,0.0,2.0
Andy Diouf,FRA,MF,Lens,Ligue 1,20,2003,14.6,737.0,689.0,45.0,13.0,1.0,0.0,47,0.0,32.0,15.0,14.0,0.0,591.0,3.0,27.0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23,1999,34.0,1301.0,1065.0,227.0,70.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,1020.0,9.0,1.0
Axel Disasi,FRA,DF,Chelsea,Premier League,25,1998,28.7,2256.0,2153.0,98.0,49.0,3.0,11.0,10,43.0,0.0,0.0,0.0,0.0,2031.0,5.0,19.0
Tiago Djaló,POR,DF,Juventus,Serie A,23,2000,0.2,13.0,11.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
Chaim El Djebali,TUN,MF,Lyon,Ligue 1,19,2004,0.1,9.0,9.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
Djené,TOG,"DF,MF",Getafe,La Liga,31,1991,27.6,1121.0,1049.0,69.0,21.0,0.0,4.0,30,48.0,0.0,0.0,0.0,0.0,861.0,3.0,14.0
Koffi Djidji,CIV,DF,Torino,Serie A,30,1992,8.4,434.0,411.0,20.0,10.0,0.0,0.0,2,10.0,0.0,0.0,0.0,0.0,372.0,3.0,3.0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,30,1993,31.5,1661.0,1584.0,75.0,58.0,1.0,6.0,6,17.0,0.0,0.0,0.0,0.0,1454.0,2.0,11.0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,1992,13.0,394.0,291.0,102.0,23.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,292.0,1.0,0.0
Ben Doak,SCO,FW,Liverpool,Premier League,17,2005,0.2,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Ritsu Doan,JPN,"DF,MF",Freiburg,Bundesliga,25,1998,25.0,713.0,678.0,31.0,11.0,5.0,6.0,61,5.0,15.0,10.0,5.0,0.0,504.0,4.0,26.0
Lewis Dobbin,ENG,MF,Everton,Premier League,20,2003,2.6,65.0,60.0,3.0,1.0,0.0,0.0,7,2.0,0.0,0.0,0.0,0.0,44.0,2.0,3.0
Dodô,BRA,DF,Fiorentina,Serie A,24,1998,5.8,347.0,296.0,50.0,4.0,1.0,1.0,19,46.0,0.0,0.0,0.0,0.0,278.0,1.0,6.0
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,25,1998,24.0,919.0,894.0,23.0,21.0,0.0,5.0,4,2.0,0.0,0.0,0.0,0.0,738.0,2.0,9.0
Matt Doherty,IRL,"DF,MF",Wolves,Premier League,31,1992,12.8,653.0,566.0,87.0,11.0,0.0,5.0,13,76.0,0.0,0.0,0.0,0.0,515.0,0.0,18.0
Josh Doig,SCO,DF,Hellas Verona,Serie A,21,2002,9.2,338.0,261.0,74.0,4.0,0.0,1.0,30,70.0,0.0,0.0,0.0,0.0,251.0,3.0,9.0
Josh Doig,SCO,DF,Sassuolo,Serie A,21,2002,14.9,591.0,413.0,177.0,4.0,0.0,2.0,47,172.0,1.0,0.0,1.0,0.0,404.0,1.0,19.0
Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,21,2002,17.7,852.0,844.0,8.0,0.0,2.0,2.0,61,5.0,3.0,0.0,0.0,0.0,693.0,0.0,34.0
Jeremy Doku,BEL,FW,Rennes,Ligue 1,21,2002,1.2,49.0,49.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0
Jaume Doménech,ESP,GK,Valencia,La Liga,32,1990,0.9,31.0,18.0,13.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22,2001,17.6,864.0,831.0,30.0,27.0,0.0,12.0,3,3.0,0.0,0.0,0.0,0.0,681.0,3.0,10.0
Mario Dominguez,ESP,FW,Valencia,La Liga,19,2004,0.3,5.0,5.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,25,1998,16.6,843.0,817.0,22.0,10.0,2.0,5.0,6,4.0,1.0,0.0,1.0,0.0,714.0,4.0,13.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,25,1998,1.1,92.0,90.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,83.0,0.0,1.0
Giulio Donati,ITA,DF,Monza,Serie A,33,1990,0.4,46.0,40.0,6.0,1.0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0
Jamie Donley,ENG,FW,Tottenham,Premier League,18,2005,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24,1999,24.1,773.0,609.0,163.0,31.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,686.0,1.0,0.0
Patrick Dorgu,DEN,"DF,MF",Lecce,Serie A,18,2004,17.4,729.0,612.0,115.0,19.0,0.0,5.0,41,91.0,5.0,0.0,0.0,0.0,582.0,2.0,16.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,25,1998,15.4,628.0,600.0,25.0,22.0,2.0,4.0,3,0.0,1.0,0.0,1.0,0.0,545.0,3.0,5.0
Alberto Dossena,ITA,DF,Cagliari,Serie A,24,1998,33.1,1305.0,1255.0,49.0,41.0,3.0,11.0,1,7.0,0.0,0.0,0.0,0.0,1042.0,1.0,8.0
Carlos Dotor,ESP,MF,Celta Vigo,La Liga,22,2001,7.9,350.0,339.0,10.0,2.0,1.0,0.0,9,4.0,3.0,3.0,0.0,0.0,289.0,1.0,7.0
Abdoulaye Doucouré,MLI,"FW,MF",Everton,Premier League,30,1993,29.2,893.0,876.0,16.0,0.0,1.0,1.0,26,0.0,0.0,0.0,0.0,0.0,683.0,1.0,29.0
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,23,2000,10.2,422.0,418.0,4.0,4.0,5.0,0.0,1,0.0,0.0,0.0,0.0,0.0,367.0,0.0,7.0
Siriné Doucouré,MLI,FW,Lorient,Ligue 1,21,2002,4.7,94.0,87.0,7.0,0.0,2.0,1.0,1,0.0,0.0,0.0,0.0,0.0,71.0,0.0,1.0
Désiré Doué,FRA,"MF,FW",Rennes,Ligue 1,18,2005,18.1,779.0,734.0,41.0,18.0,6.0,6.0,70,4.0,18.0,11.0,7.0,0.0,576.0,4.0,24.0
Guela Doué,CIV,DF,Rennes,Ligue 1,20,2002,13.7,669.0,556.0,113.0,8.0,2.0,1.0,43,105.0,0.0,0.0,0.0,0.0,502.0,0.0,18.0
Alfie Doughty,ENG,DF,Luton Town,Premier League,23,1999,32.5,1686.0,1190.0,489.0,89.0,0.0,9.0,340,249.0,151.0,66.0,80.0,5.0,1121.0,7.0,60.0
Douglas,BRA,MF,Nantes,Ligue 1,26,1997,19.7,1040.0,991.0,47.0,34.0,4.0,8.0,20,2.0,11.0,8.0,2.0,0.0,904.0,2.0,11.0
Ismaël Doukouré,FRA,"MF,DF",Strasbourg,Ligue 1,20,2003,18.4,771.0,729.0,40.0,23.0,4.0,7.0,0,8.0,0.0,0.0,0.0,0.0,660.0,2.0,9.0
Kamory Doumbia,MLI,MF,Brest,Ligue 1,20,2003,9.8,487.0,472.0,14.0,5.0,2.0,0.0,8,3.0,2.0,0.0,2.0,0.0,420.0,1.0,8.0
Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,23,1999,10.1,166.0,154.0,12.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,0.0,105.0,0.0,4.0
Artem Dovbyk,UKR,FW,Girona,La Liga,26,1997,28.7,392.0,359.0,28.0,0.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0.0,277.0,5.0,16.0
Nikola Dovedan,AUT,"MF,FW",Heidenheim,Bundesliga,29,1994,7.3,204.0,187.0,16.0,2.0,4.0,1.0,8,3.0,3.0,0.0,0.0,0.0,125.0,1.0,15.0
Damion Downs,GER,"FW,MF",Köln,Bundesliga,19,2004,2.0,36.0,35.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,24.0,0.0,4.0
Tommy Doyle,ENG,MF,Wolves,Premier League,21,2001,13.6,955.0,878.0,69.0,44.0,2.0,15.0,28,8.0,15.0,8.0,3.0,0.0,801.0,8.0,11.0
Radu Drăgușin,ROU,DF,Tottenham,Premier League,21,2002,4.8,370.0,352.0,18.0,8.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,326.0,0.0,3.0
Radu Drăgușin,ROU,DF,Genoa,Serie A,21,2002,19.0,721.0,623.0,98.0,20.0,0.0,3.0,1,34.0,0.0,0.0,0.0,0.0,592.0,0.0,3.0
Dion Drena Beljo,CRO,"FW,MF",Augsburg,Bundesliga,21,2002,6.5,160.0,150.0,9.0,0.0,2.0,1.0,3,2.0,0.0,0.0,0.0,0.0,115.0,1.0,2.0
Tim Drexler,GER,DF,Hoffenheim,Bundesliga,18,2005,6.4,349.0,341.0,7.0,6.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,315.0,1.0,1.0
Domingos Duarte,POR,DF,Getafe,La Liga,28,1995,10.1,380.0,365.0,13.0,11.0,1.0,3.0,1,1.0,0.0,0.0,0.0,0.0,294.0,2.0,4.0
Rubén Duarte,ESP,DF,Alavés,La Liga,27,1995,20.9,827.0,658.0,160.0,55.0,0.0,8.0,70,104.0,1.0,0.0,0.0,0.0,566.0,9.0,10.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,34,1989,22.1,651.0,443.0,206.0,37.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,519.0,2.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,29,1994,30.0,950.0,751.0,192.0,55.0,11.0,10.0,159,5.0,97.0,35.0,49.0,0.0,566.0,7.0,16.0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,28,1994,27.3,1209.0,1049.0,156.0,94.0,5.0,20.0,94,5.0,54.0,11.0,32.0,0.0,906.0,4.0,19.0
Denzel Dumfries,NED,DF,Inter,Serie A,27,1996,18.2,801.0,656.0,142.0,4.0,0.0,2.0,47,138.0,0.0,0.0,0.0,0.0,614.0,3.0,16.0
Paul Dummett,WAL,DF,Newcastle Utd,Premier League,31,1991,0.2,23.0,22.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
Alfred Duncan,GHA,MF,Fiorentina,Serie A,30,1993,21.0,1030.0,961.0,63.0,22.0,5.0,18.0,65,5.0,35.0,11.0,17.0,0.0,800.0,6.0,22.0
Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,31.9,3233.0,3005.0,219.0,115.0,2.0,16.0,7,5.0,0.0,0.0,0.0,0.0,2977.0,9.0,5.0
Jhon Durán,COL,"FW,MF",Aston Villa,Premier League,19,2003,5.3,121.0,117.0,4.0,1.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,83.0,0.0,10.0
Julien Duranville,BEL,"FW,MF",Dortmund,Bundesliga,17,2006,0.1,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Hugo Duro,ESP,FW,Valencia,La Liga,23,1999,33.1,570.0,522.0,45.0,1.0,0.0,0.0,7,4.0,0.0,0.0,0.0,0.0,406.0,3.0,16.0
Jean-Kevin Duverne,HAI,DF,Nantes,Ligue 1,26,1997,15.0,743.0,653.0,86.0,15.0,0.0,2.0,13,71.0,0.0,0.0,0.0,0.0,597.0,4.0,11.0
Paulo Dybala,ARG,"FW,MF",Roma,Serie A,29,1993,21.8,1000.0,877.0,117.0,27.0,7.0,11.0,88,10.0,54.0,22.0,27.0,0.0,790.0,6.0,20.0
Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,17.7,571.0,545.0,24.0,5.0,4.0,13.0,28,10.0,9.0,2.0,5.0,0.0,428.0,2.0,17.0
George Earthy,ENG,FW,West Ham,Premier League,18,2004,0.4,17.0,17.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
Simon Ebonog,CMR,MF,Le Havre,Ligue 1,18,2004,0.2,21.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
Festy Ebosele,IRL,DF,Udinese,Serie A,20,2002,18.9,419.0,358.0,60.0,2.0,1.0,5.0,45,58.0,0.0,0.0,0.0,0.0,278.0,1.0,21.0
Enzo Ebosse,CMR,DF,Udinese,Serie A,24,1999,0.1,15.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
